SAMPNO	PERNO	PLANO	LOCATION_TYPE	LOCATION_ID	MODE	TRIPDUR	ACTDUR
8037670	1	3	Work	21	1	2	596
8037670	1	4	Work	21	1	3	2
8037670	1	5	Other	41	5	22	1
8037670	1	6	Home	11	1	4	337
8037670	2	1	Other	42	3	2	11
8037670	2	2	Other	42	3	8	102
8037670	2	3	Home	12	3	9	306
8037670	2	4	Other	42	3	9	217
8037670	2	5	Other	42	3	7	81
8037670	2	6	Other	42	3	2	264
8040384	1	1	Other	41	3	8	3
8040384	1	2	Other	41	3	10	1
8040384	1	3	Work	21	3	4	323
8040384	1	4	Work	21	3	3	198
8040384	1	5	Other	41	3	3	8
8040384	1	6	Home	11	3	7	369
8041369	1	1	Other	41	3	13	534
8041369	1	2	Other	41	3	11	430
8041369	2	1	Work	22	3	11	217
8041369	2	2	Other	42	3	6	51
8041369	2	3	Work	22	3	6	227
8041369	2	4	Other	42	3	10	5
8041369	2	5	Other	42	3	11	78
8041369	2	6	Home	12	3	4	348
8041640	1	1	Home	11	1	0	29
8041640	1	2	Home	11	1	2	0
8041640	1	3	Home	11	1	0	567
8041640	1	4	Other	41	3	11	863
8041640	1	5	Home	11	1	1	7
8041640	1	6	Other	41	1	1	15
8041640	1	7	Other	41	1	0	603
8041640	1	8	Other	41	1	0	2
8041640	1	9	Other	41	1	0	809
8041640	1	10	Other	41	1	0	917
8041640	2	1	Other	42	1	15	3
8041640	2	2	Other	42	3	10	2
8041640	2	3	Other	42	1	0	3
8041640	2	4	Other	42	3	5	7
8041640	2	5	Home	12	3	3	338
8042926	1	1	Other	41	1	5	1
8042926	1	2	Other	41	5	11	2
8042926	1	3	Work	21	1	6	260
8042926	1	4	Other	41	1	4	5
8042926	1	5	Work	21	1	4	269
8042926	1	6	Work	21	1	2	5
8042926	1	7	Other	41	5	17	8
8042926	1	8	Home	11	1	10	15912
8042926	1	9	Other	41	1	1	241
8043090	1	1	Other	41	3	18	0
8043090	1	2	Other	41	3	7	382
8043090	1	3	Home	11	1	4	112
8043090	1	4	Other	41	1	1	7
8043090	1	5	Other	41	1	1	8
8043090	1	6	Other	41	1	6	11
8043090	1	7	Other	41	1	15	0
8043090	1	8	Other	41	3	14	17
8043090	1	9	Other	41	3	11	33
8043090	1	10	Home	11	3	12	332
8043090	2	1	Home	12	1	4	112
8043090	2	2	Other	42	1	1	7
8043090	2	3	Other	42	1	1	8
8043090	2	4	Other	42	1	6	11
8043090	2	5	Other	42	1	15	419
8044679	2	1	Other	42	3	10	614
8044679	2	2	Home	12	3	13	257
8044863	1	1	Other	41	3	1	34
8044863	1	2	Other	41	3	12	361
8046998	1	1	Other	41	3	15	271
8046998	1	2	Other	41	3	7	255
8046998	1	3	Other	41	3	15	194
8046998	1	4	Home	11	1	0	286
8048068	1	1	Other	41	3	5	0
8048068	1	2	Other	41	3	18	4
8048068	1	3	Other	41	3	6	559
8048068	1	4	Other	41	3	30	19
8048068	1	5	Other	41	3	5	7
8048068	1	6	Home	11	3	5	307
8048546	1	1	Other	41	3	14	38
8048546	1	2	Other	41	3	19	0
8048546	1	3	Other	41	3	3	84
8048546	1	4	Other	41	3	2	2
8048546	1	5	Home	11	3	15	122
8048546	1	6	Other	41	1	8	5
8048546	1	7	Home	11	1	7	190
8048546	1	8	Other	41	3	18	189
8048546	1	9	Home	11	3	13	149
8048563	1	1	Home	11	1	1	1
8048563	1	2	Other	41	3	13	9
8048563	1	3	Other	41	3	6	26
8048563	1	4	Other	41	3	7	14
8048563	1	5	Other	41	3	16	57
8048563	1	6	Home	11	3	15	385
8048592	1	1	Other	41	3	5	16
8048592	1	2	Home	11	3	5	136
8048592	1	3	Other	41	3	5	63
8048592	1	4	Other	41	3	5	0
8048592	1	5	Other	41	3	14	165
8048592	1	6	Other	41	3	15	2
8048592	1	7	Home	11	3	3	102
8048592	2	1	Other	42	3	15	12
8048592	2	2	Other	42	3	15	274
8048592	2	3	Home	12	3	15	73
8048592	2	4	Other	42	3	5	19
8048592	2	5	Home	12	3	3	136
8048592	2	6	Other	42	3	5	60
8048592	2	7	Home	12	1	19	291
8049231	1	1	Other	41	3	16	23
8049231	1	2	Home	11	3	4	160
8049231	1	3	Other	41	3	18	35
8049231	1	4	Other	41	3	7	2
8049231	1	5	Other	41	3	2	12
8049231	1	6	Home	11	3	13	598
8049458	1	1	Work	21	3	27	616
8049458	1	2	Home	11	3	25	399
8049623	1	1	Work	21	2	7	176
8049623	1	2	Work	21	1	6	95
8049623	1	3	Work	21	2	10	2
8049623	1	4	Other	41	2	15	205
8049623	1	5	Other	41	2	13	85
8049623	1	6	Home	11	2	11	279
8050475	1	1	Other	41	1	10	2
8050475	1	2	Home	11	1	9	22
8050475	1	3	Work	21	3	26	1114
8051578	1	1	Other	41	3	9	2
8051578	1	2	Other	41	3	4	921
8054746	1	1	Other	41	3	8	37
8054746	1	2	Work	21	3	9	856
8055191	2	1	Other	42	1	9	481
8055611	1	1	Other	41	3	7	4
8055611	1	2	Work	21	1	10	620
8055611	1	3	Other	41	1	7	0
8055611	1	4	Other	41	3	17	319
8056728	1	1	Other	41	3	14	584
8056728	1	2	Home	11	3	15	400
8057116	2	1	Work	22	3	10	92
8057116	2	2	Other	42	1	5	3
8057116	2	3	Other	42	1	0	6
8057116	2	4	Other	42	1	1	11
8057116	2	5	Other	42	1	0	4
8057116	2	6	Other	42	1	3	2
8057116	2	7	Other	42	1	0	5
8057116	2	8	Other	42	1	3	3
8057116	2	9	Other	42	1	0	4
8057116	2	10	Other	42	1	0	7
8057116	2	11	Other	42	1	1	3
8057116	2	12	Other	42	1	5	45
8057116	2	13	Work	22	3	0	614
8057744	1	1	Other	41	3	5	6
8057744	1	2	Other	41	3	16	277
8057744	1	3	Other	41	3	2	4
8057744	1	4	Home	11	3	2	120
8057744	1	5	Other	41	3	8	8
8057744	1	6	Other	41	3	15	56
8057744	1	7	Other	41	3	15	432
8057744	2	1	Other	42	3	6	5
8057744	2	2	Other	42	3	15	42
8057744	2	3	Home	12	3	12	5
8057744	2	4	Other	42	3	8	106
8057744	2	5	Home	12	3	4	519
8057744	2	6	Home	12	3	10	234
8058228	3	1	Other	43	1	12	4
8058228	3	2	Other	43	1	0	413
8058228	3	3	Home	13	1	15	508
8060215	1	1	Other	41	3	6	574
8060215	1	2	Home	11	3	18	382
8062428	1	1	Other	41	3	11	1
8062428	1	2	Other	41	1	0	58
8062428	1	3	Home	11	3	12	286
8062428	1	4	Other	41	3	3	8
8062428	1	5	Other	41	3	1	438
8062428	1	6	Other	41	3	4	91
8062428	1	7	Other	41	1	0	17
8062428	1	8	Home	11	1	1	209
8062617	1	1	Other	41	3	8	0
8062617	1	2	Other	41	3	2	5
8062617	1	3	Other	41	3	6	154
8062617	1	4	Home	11	3	12	674
8062617	2	1	Home	12	1	0	27
8062617	2	2	Other	42	1	15	314
8064352	1	1	Work	21	3	5	580
8064352	1	2	Other	41	3	4	14
8064352	1	3	Home	11	3	3	350
8064645	1	1	Home	11	1	1	3
8064645	1	2	Other	41	1	0	1
8064645	1	3	Other	41	3	12	0
8064645	1	4	Other	41	3	17	27
8064645	1	5	Other	41	1	0	430
8064668	1	1	Other	41	3	13	4
8064668	1	2	Other	41	3	7	223
8064668	1	3	Other	41	3	19	46
8064668	1	4	Other	41	3	17	41
8064668	1	5	Home	11	3	9	162
8064668	1	6	Home	11	3	9	14
8064668	1	7	Other	41	3	5	0
8064668	1	8	Other	41	3	5	6
8064668	1	9	Other	41	3	10	10
8064668	1	10	Other	41	1	1	33
8064668	1	11	Other	41	3	5	137
8064668	1	12	Home	11	3	8	169
8066287	2	1	Other	42	3	51	303
8066287	2	2	Other	42	3	3	1
8066287	2	3	Other	42	3	38	1436
8068293	1	1	Other	41	3	5	3
8068293	1	2	Home	11	3	5	403
8069947	1	1	Work	21	3	17	21
8069947	1	2	Other	41	3	9	136
8069947	1	3	Other	41	3	9	33
8069947	1	4	Other	41	3	4	4
8069947	1	5	Home	11	3	9	325
8069947	1	6	Work	21	3	13	86
8069947	1	7	Home	11	3	12	243
8070047	1	1	Other	41	3	3	10
8070047	1	2	Other	41	3	5	93
8070047	1	3	Other	41	1	0	6
8070047	1	4	Work	21	1	0	392
8070047	1	5	Other	41	3	9	20
8070047	1	6	Home	11	3	10	476
8072642	1	1	Home	11	1	6	23
8072642	1	2	Work	21	1	1	528
8072642	1	3	Other	41	3	5	16
8072642	1	4	Other	41	3	15	1
8072642	1	5	Home	11	1	11	9696
8072642	1	6	Other	41	3	15	81
8072642	1	7	Other	41	3	6	5
8072642	1	8	Other	41	3	4	131
8072642	1	9	Home	11	1	1	3
8072642	1	10	Other	41	1	1	6
8072642	1	11	Other	41	1	0	5
8072642	1	12	Other	41	3	13	138
8072642	1	13	Other	41	3	3	4
8072642	1	14	Other	41	3	8	48
8073130	1	1	Other	41	1	8	41
8073130	1	2	Other	41	1	3	2
8073130	1	3	Home	11	1	1	17
8073130	1	4	Other	41	3	8	13
8073130	1	5	Other	41	1	3	21
8073130	1	6	Other	41	1	3	1
8073130	1	7	Work	21	3	3	241
8073130	1	8	Other	41	1	5	74
8073130	1	9	Work	21	1	6	72
8073130	1	10	Home	11	3	7	122
8074314	1	1	Other	41	3	12	14
8074314	1	2	Home	11	3	22	9
8074314	1	3	Other	41	3	11	319
8074718	1	1	Other	41	1	14	34
8074718	1	2	Other	41	3	0	14
8074718	1	3	Home	11	1	0	117
8074718	1	4	Home	11	1	7	48
8074718	1	5	Other	41	1	7	55
8074718	1	6	Home	11	1	7	20
8074718	1	7	Other	41	3	7	181
8074718	1	8	Other	41	3	10	90
8075094	1	1	Work	21	3	8	1087
8075736	1	1	Other	41	3	2	1
8075736	1	2	Other	41	3	10	22
8075736	1	3	Other	41	3	9	166
8075736	1	4	Other	41	3	11	0
8075736	1	5	Other	41	3	4	87
8075736	1	6	Home	11	3	8	285
8075736	1	7	Other	41	3	11	78
8075736	1	8	Home	11	3	11	230
8076108	1	1	Home	11	3	16	708
8076108	2	1	Work	22	3	35	536
8076108	2	2	Home	12	3	44	403
8076516	1	1	Other	41	1	17	78
8076516	1	2	Home	11	1	9	242
8076516	1	3	Other	41	3	12	74
8076516	1	4	Home	11	3	11	356
8076516	2	1	Home	12	3	11	477
8077107	1	1	Other	41	3	14	52
8077107	1	2	Other	41	3	15	222
8077107	1	3	Other	41	3	6	42
8077107	1	4	Work	21	3	6	257
8077107	1	5	Other	41	3	15	406
8077176	1	1	Other	41	5	26	0
8077176	1	2	Other	41	3	33	307
8077983	1	1	Other	41	3	6	31
8077983	1	2	Other	41	3	4	104
8077983	1	3	Other	41	1	2	12
8077983	1	4	Home	11	3	4	576
8078235	2	1	Other	42	3	12	7
8078235	2	2	Other	42	3	7	7
8078235	2	3	Other	42	3	5	4
8078235	2	4	Other	42	3	10	45
8078235	2	5	Home	12	3	8	388
8078235	2	6	Other	42	3	3	5
8078235	2	7	Home	12	3	4	378
8078290	1	1	Other	41	3	8	51
8078290	1	2	Other	41	3	6	35
8078290	1	3	Work	21	1	1	127
8078290	1	4	Work	21	1	1	2
8078290	1	5	Work	21	1	2	152
8078290	1	6	Other	41	5	21	599
8078290	2	1	Work	22	3	12	461
8078290	2	2	Home	12	3	13	864
8078290	2	3	Work	22	3	16	192
8078290	2	4	Other	42	3	17	64
8078290	2	5	Work	22	3	18	261
8078290	2	6	Home	12	3	17	328
8078302	1	1	Other	41	3	7	2
8078302	1	2	Home	11	3	4	88
8078302	1	3	Other	41	3	9	261
8078302	1	4	Other	41	1	9	14
8078302	1	5	Other	41	1	7	23
8078302	1	6	Work	21	1	4	257
8078302	1	7	Other	41	1	4	42
8078302	1	8	Other	41	3	4	15
8078302	1	9	Home	11	3	8	320
8078400	1	1	Other	41	1	3	6
8078400	1	2	Other	41	1	3	296
8078400	1	3	Other	41	5	10	0
8078400	1	4	Other	41	1	2	0
8078400	1	5	Home	11	3	4	359
8078513	1	1	Other	41	5	11	0
8078513	1	2	Home	11	3	13	496
8078521	1	1	Other	41	1	2	4
8078521	1	2	Other	41	1	0	3
8078521	1	3	Other	41	1	1	2
8078521	1	4	Other	41	1	13	2
8078521	1	5	Other	41	1	3	2
8078521	1	6	Other	41	1	12	5
8078521	1	7	Other	41	1	1	416
8078895	1	1	Other	41	3	15	499
8078895	2	1	Other	42	3	9	2
8078895	2	2	Home	12	3	7	495
8078946	2	1	Other	42	5	50	3
8078946	2	2	Other	42	5	4	276
8078946	2	3	Other	42	1	3	13
8078946	2	4	Other	42	5	53	5
8078946	2	5	Home	12	3	6	98
8078946	2	6	Other	42	3	6	2
8078946	2	7	Home	12	3	10	258
8078946	2	8	Home	12	3	10	158
8079027	1	1	Other	41	1	5	2
8079027	1	2	Other	41	1	9	1424
8079027	1	3	Other	41	1	5	3
8079027	1	4	Other	41	5	8	0
8079027	1	5	Work	21	1	4	583
8079027	1	6	Other	41	1	4	1
8079027	1	7	Other	41	5	8	1
8079027	1	8	Other	41	1	6	1
8079027	1	9	Home	11	3	27	767
8079027	1	10	Other	41	3	21	2066
8079027	1	11	Home	11	3	29	494
8079032	1	1	Other	41	3	2	54
8079032	1	2	Work	21	3	5	939
8079032	2	1	Other	42	3	12	976
8079071	1	1	Other	41	5	11	0
8079071	1	2	Other	41	1	1	4
8079071	1	3	Home	11	3	7	660
8079119	1	1	Home	11	3	35	438
8079423	1	1	Other	41	1	9	3
8079423	1	2	Other	41	1	0	2
8079423	1	3	Other	41	1	1	5
8079423	1	4	Other	41	1	0	4
8079423	1	5	Home	11	3	23	400
8079423	2	1	Home	12	1	2	2856
8079423	2	2	Other	42	1	0	241
8079423	2	3	Home	12	1	0	692
8079423	2	4	Other	42	3	20	115795
8079423	2	5	Home	12	1	0	316
8079472	1	1	Other	41	3	12	800
8079472	1	2	Other	41	3	8	301
8079556	1	1	Home	11	3	25	58
8079556	1	2	Other	41	3	3	24
8079556	1	3	Other	41	3	7	350
8079556	2	1	Other	42	3	4	0
8079556	2	2	Home	12	3	3	349
8079556	2	3	Other	42	3	4	34
8079556	2	4	Other	42	3	3	2
8079556	2	5	Other	42	3	4	6
8079556	2	6	Home	12	3	4	87
8079556	2	7	Other	42	3	5	12
8079556	2	8	Home	12	3	6	462
8080061	1	1	Other	41	1	14	37
8080061	1	2	Home	11	1	10	2
8080061	1	3	Home	11	1	6	2
8080061	1	4	Home	11	1	4	308
8080061	2	1	Home	12	1	0	64
8080061	2	2	Home	12	1	1	4
8080061	2	3	Work	22	3	5	851
8080395	2	1	Other	42	3	15	8
8080395	2	2	Other	42	1	0	72
8080395	2	3	Home	12	3	19	500
8080990	3	1	Other	43	3	5	2
8080990	3	2	Other	43	3	10	983
8081724	2	1	Other	42	1	1	5
8081724	2	2	Other	42	1	0	21
8081724	2	3	Other	42	3	8	14
8081724	2	4	Other	42	1	0	1
8081724	2	5	Other	42	1	1	3
8081724	2	6	Other	42	3	11	5
8081724	2	7	Other	42	3	109	9
8081724	2	8	Other	42	3	3	16
8081724	2	9	Home	12	1	0	643
8084836	2	1	Home	12	1	0	2
8084836	2	2	Home	12	1	0	2
8084836	2	3	Other	42	3	5	2
8084836	2	4	Other	42	3	3	329
8084836	2	5	Other	42	3	10	22
8084836	2	6	Work	22	3	16	186
8084836	2	7	Home	12	3	30	384
8084982	1	1	Home	11	1	5	214
8084982	1	2	Home	11	1	3	0
8084982	1	3	Other	41	1	2	4
8084982	1	4	Home	11	1	3	171
8084982	1	5	Other	41	3	15	44
8084982	1	6	Other	41	3	11	5
8084982	1	7	Home	11	3	4	372
8086112	2	1	Other	42	3	11	1
8086112	2	2	Home	12	3	10	385
8086112	2	3	Other	42	3	11	0
8086112	2	4	Work	22	3	7	520
8086125	1	1	Work	21	1	7	368
8086125	1	2	Work	21	1	3	0
8086125	1	3	Work	21	1	2	128
8086125	1	4	Home	11	1	7	434
8086746	1	1	Other	41	3	15	7
8086746	1	2	Other	41	3	0	463
8086746	1	3	Other	41	1	5	4
8086746	1	4	Other	41	3	6	9
8086746	1	5	Other	41	1	0	2
8086746	1	6	Other	41	3	18	197
8086746	1	7	Other	41	3	15	4
8086746	1	8	Home	11	1	1	157
8087237	1	1	Other	41	3	3	81
8087237	1	2	Home	11	3	3	150
8087237	1	3	Other	41	3	17	140
8087237	1	4	Other	41	3	10	70
8087237	1	5	Other	41	3	3	1
8087237	1	6	Other	41	3	11	108
8087237	1	7	Home	11	3	21	531
8087958	1	1	Home	11	1	0	550
8087958	1	2	Home	11	3	5	2
8087958	1	3	Other	41	3	7	84
8087958	1	4	Other	41	3	8	14
8087958	1	5	Other	41	3	3	1
8087958	1	6	Other	41	3	12	380
8087958	1	7	Other	41	3	9	31
8087958	1	8	Other	41	3	10	11
8087958	1	9	Other	41	3	2	1
8087958	1	10	Home	11	3	16	496
8088042	1	1	Other	41	1	1	29
8088042	1	2	Other	41	1	0	79
8088042	1	3	Home	11	3	7	338
8088042	2	1	Other	42	3	3	90
8088042	2	2	Work	22	3	3	365
8088042	2	3	Home	12	3	16	269
8088977	1	1	Other	41	1	6	0
8088977	1	2	Other	41	1	14	1
8088977	1	3	Other	41	1	1	2
8088977	1	4	Other	41	1	3	835
8089004	1	1	Other	41	3	4	13
8089004	1	2	Other	41	3	17	76
8089004	1	3	Home	11	3	13	70
8089004	1	4	Other	41	3	2	72
8089004	1	5	Other	41	3	19	2
8089004	1	6	Other	41	1	3	1
8089004	1	7	Other	41	3	8	580
8089004	2	1	Other	42	1	0	900
8090168	1	1	Other	41	1	0	7
8090168	1	2	Other	41	1	0	18
8090168	1	3	Other	41	1	0	12
8090168	1	4	Other	41	1	1	51
8090168	1	5	Other	41	1	0	76
8090168	1	6	Other	41	1	0	156
8090711	1	1	Other	41	1	0	24
8090711	1	2	Other	41	1	1	45
8090711	1	3	Other	41	1	0	50
8090711	1	4	Other	41	1	1	14
8090711	1	5	Other	41	1	1	466
8092628	1	1	Work	21	3	8	262
8092628	1	2	Other	41	3	9	24
8092628	1	3	Other	41	3	13	544
8093102	2	1	Other	42	2	42	1
8093102	2	2	Other	42	2	11	489
8093131	1	1	Other	41	3	3	14
8093131	1	2	Other	41	1	1	8
8093131	1	3	Home	11	3	4	413
8094882	1	1	Other	41	3	20	3
8094882	1	2	Work	21	3	5	508
8094882	1	3	Other	41	3	8	17
8094882	1	4	Home	11	3	24	462
8094882	4	1	Other	44	3	24	197
8095229	1	1	Other	41	3	20	26
8095229	1	2	Work	21	3	11	828
8095232	1	1	Work	21	3	6	49
8095232	1	2	Other	41	3	4	1
8095232	1	3	Work	21	3	8	136
8095232	1	4	Other	41	3	10	2
8095232	1	5	Work	21	3	9	120
8095232	1	6	Home	11	3	6	19
8095232	1	7	Work	21	3	7	74
8095232	1	8	Other	41	3	1	2
8095232	1	9	Other	41	3	3	11
8095232	1	10	Home	11	3	10	554
8095260	1	1	Home	11	3	11	342
8095260	2	1	Other	42	3	10	18
8095260	2	2	Home	12	3	5	464
8095872	2	1	Other	42	1	0	6
8095872	2	2	Home	12	1	0	9
8095872	2	3	Other	42	1	0	4
8095872	2	4	Other	42	1	0	19
8095872	2	5	Other	42	1	0	484
8095872	2	6	Other	42	1	1	14
8095872	2	7	Other	42	1	0	14
8095872	2	8	Home	12	3	5	404
8096922	1	1	Work	21	3	4	290
